course_code,course_name,domain_knowledge,jd_skills,tools
DTUE309,Economic Analysis of Public Investment Project (Phân tích kinh tế dự án đầu tư công),"public investment projects, socio-economic development, socio-economic benefits, social discount rates","economic analysis, measuring socio-economic benefits, analyzing project impacts, financial indicators analysis, public investment project evaluation",
EAB121,Tiếng Anh học thuật và thương mại 2 (Academic and Business English 2),"Tiếng Anh học thuật, Tiếng Anh thương mại, thương hiệu, chiến lược kinh doanh, hậu cần, doanh nghiệp, văn hóa nước ngoài, B1 level vocabulary & grammar","Kỹ năng nghe (listening), Kỹ năng nói (speaking), Kỹ năng đọc (reading - skimming, scanning), Kỹ năng viết (writing - business emails, job application letters, complaint letters, summary writing, proposal reports, invitation responses), thuyết trình (presentation), tranh luận (debate), thảo luận (discussion)",
KDOE410,International Business Practice 1,"organizational model and structure, basic business activities, Finance and Investment, Trade and export-import, Marketing and Communication, Entrepreneurship and Innovation","communication, presentation, self-direction, career development planning, business report writing",
DTU300E,Investment Project Design (Lập và phân tích dự án đầu tư),"investment projects, investment environment, financial viability, socio-economic impacts, project risks, market analysis, financial analysis, socio-economic analysis, risk analysis","formulating investment proposals, project risk assessment, financial and economic analysis, presentation, writing reports/essays, citation, data analysis",
KDOE304,Global Value Chain (Chuỗi giá trị toàn cầu),"global value chain, national competitive advantage, globalization, business environment, value chain organization models","formulating business strategies, planning value chain participation, SWOT analysis, PESTEL analysis, Porter's Diamond analysis, Global Value Chain framework, resource optimization, competitive analysis","SWOT, PESTEL, Porter's Diamond model, Global Value Chain framework"
KDOE523,Graduation Thesis (Khóa luận tốt nghiệp),"international business, competitive strategy, business model innovation, business ideation, international market operations","project report writing, thesis defense, data collection, business analysis, communication, presentation, problem-solving, strategic planning",
EAB111,Tiếng Anh học thuật và thương mại 1 (Academic and Business English 1),"Tiếng Anh học thuật, Tiếng Anh thương mại, B1 level vocabulary & grammar, thảo luận cuộc họp, giới thiệu sản phẩm, đàm phán","Kỹ năng nghe (listening), Kỹ năng nói (speaking), Kỹ năng đọc (reading - skimming, scanning, making inferences), Kỹ năng viết (writing - topic sentences, paragraph comparing, cause-effect paragraphs, short essays, business emails, product reviews, reports, inquiry letters), thuyết trình sản phẩm, đàm phán thương mại",
KETE410,International Accounting,"international financial reporting standards (IFRS), international accounting convergence, accounting diversification, Vietnamese accounting standards (VAS), accounting operations in MNCs, assets, liabilities, equity, revenue, expenses","accounting record-keeping, financial reporting, transaction recording, communication, presentation, teamwork, report writing",
KDOE411,International Business Practice 2 (Thực hành Kinh doanh quốc tế 2),"international business operations, finance, investment, trade, export-import, marketing, communication, entrepreneurship, innovation","document processing, data synthesis, business analysis, strategic planning, communication, presentation, career development planning, report writing",
TMAE329,Non-tariff measures in International Trade (Các biện pháp phi thuế trong thương mại quốc tế),"non-tariff measures, technical barriers to trade (TBT), sanitary and phytosanitary (SPS) measures, trade defense instruments, anti-dumping, countervailing, safeguards, WTO, UNCTAD, national trade regulations","identifying non-tariff barriers, developing trade strategies, business analysis, communication, data retrieval, information analysis",
