STT,HỌC PHẦN,Mã học phần
,,
,,
,TỔNG,
1,KIẾN THỨC GIÁO DỤC ĐẠI CƯƠNG,
1.1,Lý luận chính trị,
1,Triết học Mác-Lênin(Marxist – Leninist Philosophy),TRIH114
2,Kinh tế chính trị Mác-Lênin(Marxism-Leninism Political Economy),TRIH115
3,Chủ nghĩa xã hội khoa học(Scientific Socialism),TRIH116
4,Tư tưởng Hồ Chí Minh(Ho Chi Minh’s Ideology),TRIH104
5,Lịch sử Đảng Cộng sản Việt Nam(History of the Communist Party of Vietnam),TRIH117
1.2,"Khoa học xã hội, Nhân văn – Nghệ thuật, Toán – Tin học",
1.2.1,Bắt buộc,
6,Pháp luật đại cương(Introduction to Law),PLUE111/PLUH111
7,Đại số tuyến tính(Linear Algebra),TOAE109/TOAH109
8,Giải tích(Calculus),TOAE110/TOAH110
9,Phương pháp nghiên cứu(Research Methodology),PPHE109/PPHH109
10,Kinh tế vi mô(Microeconomics),KTEE201/KTEH201
11,Kinh tế vĩ mô(Macroeconomics),KTEE203/KTEH203
12,Quản trị học(Fundamental of Management),QTRE303/QTRH303
13,Tư duy thiết kế(Design thinking),PPHE107/PPHH107
1.2.2,Tự chọn (Chọn 1 trong số các HP sau),
14,Đổi mới sáng tạo(Innovation),TMAE319/TMAH319
15,Tâm lý học(Psychology),TLHE102/TLHH102
16,Khoa học và Công nghệ vị Nhân sinh(Science and Technology for Humanity),TRIE204/TRIH204
17,Tư duy Khởi nghiệp và Thiết kế ý tưởng(Entrepreneurial Mindset and Ideation),QTRE211/QTRH211
18,Lý thuyết tài chính(Principles of Finance),TCHE302/TCHH302
19,Nguyên lý kế toán(Principles of Accounting),KETE201/KETH201
1.3,Ngoại ngữ bổ trợ (SV có đủ năng lực TA cơ bản chuyển sang học Tiếng Anh chuyên ngành),
20,Tiếng Anh học thuật và thương mại 1(Academic and Business English 1),EAB111
21,Tiếng Anh học thuật và thương mại 2(Academic and Business English 2),EAB121
2,KHỐI KIẾN THỨC GIÁO DỤC CHUYÊN NGHIỆP,
2.1,Kiến thức cơ sở khối ngành/ngành,
2.1.1,Bắt buộc,
22,Lý thuyết xác suất và thống kê toán(The Theory of Probability and Mathematical Statistics),TOAE201/TOAH201
23,Toán rời rạc(Discrete Mathematics),TOAE111/TOAH111
24,Nhập môn Tư duy tính toán và lập trình(Introduction to Computational Thinking and Programming),COSE100/COSH100
25,Kiến trúc máy tính và Nguyên lý hệ điều hành(Computer Architecture and Principles of Operating Systems),COSE200/COSH200
26,Mạng máy tính(Computer Networks),COSE201/COSH201
27,Cấu trúc dữ liệu và Giải thuật(Data Structures and Algorithms),DASE100/DASH100
2.1.2,Ngoại ngữ – Tiếng Anh chuyên ngành,
28,Tiếng Anh chuyên ngành – Kỹ năng viết trong kỹ thuật và trình bày(ESP – Technical writing and presentation),ESP237
29,Tiếng Anh chuyên ngành – Khoa học máy tính(ESP – Computer Science),ESP343
2.1.3,Tự chọn (Chọn 1 trong số các HP sau),
30,Vật lý cho hệ thống tính toán(Physics for Computing),TOAE207/TOAH207
31,Phương pháp tính toán số(Numerical Computing Methods),TOAE208/TOAH208
