STT,Tên học phần,"Mã
học phần"
,,
,,
,Khối kiến thức giáo dục đại cương,
1.1,Lý luận chính trị,
1,"Triết học Mác-Lênin
(Marxist - Leninist Philosophy)",TRIH114
2,"Kinh tế chính trị Mác-Lênin
(Marxist- Leninist Political Economy)",TRIH115
3,"Chủ nghĩa xã hội khoa học
(Scientific Socialism",TRIH116
4,"Tư tưởng Hồ Chí Minh
(Ho Chi Minh's Ideology)",TRIH104
5,"Lịch sử Đảng Cộng sản Việt Nam
(History of the Communist Party of Vietnam)",TRIH117
1.2,"Khoa học xã hội, Nhân văn - Nghệ thuật, Toán - Tin học",
,Bắt buộc,
6,"Toán cao cấp
(Advanced Mathematics)",TOAE105
7,"Lý thuyết xác suất và thống kê toán
(Theory of Probability and Mathematical Statistics)",TOAE201
8,"Pháp luật đại cương
(Introduction to Laws)",PLUE111
9,"Tin học
(Informatics)",TINE206
10,"Kỹ năng phát triển nghề nghiệp
(Career Development Skills)",KDOE441
11,"Phương pháp nghiên cứu trong kinh tế và kinh doanh
(Research Methodology for Economics and Business)",KTEE206
,Tự chọn (Chọn 1 trong 3HP),
12,"Văn hóa trong kinh doanh
(Culture in Business)",KTEE325
13,"Kinh tế lượng
(Econometrics)",KTEE309
14,"Quan hệ quốc tế
(International Relations)",TMAE317
15,"Tiếng Việt cơ bản 1
(Basic Vietnamese 1)",TVIH100
16,"Tư duy thiết kế
(Design Thinking)",PPHE107
1.4,Giáo dục thể chất,
,Giáo dục thể chất,
1.5,Giáo dục quốc phòng,
,Giáo dục quốc phòng,
2,Khối kiến thức giáo dục chuyên nghiệp,
2.1,Kiến thức cơ sở (khối ngành/ngành),
,Bắt buộc,
17,"Kinh tế vi mô
(Microeconomics)",KTEE201
18,"Kinh tế vĩ mô
(Macroeconomics)",KTEE203
19,"Marketing căn bản
(Principles of Marketing)",MKTE301
20,"Nguyên lý kế toán
(Principles of Accounting)",KETE201
21,"Lý thuyết tài chính
(Principles of Finance)",TCHE302
,Học phần tự chọn (chọn 1 học phần),
22,"Nhập môn Kinh doanh
(Introduction to Business)",KDOE203
23,"Quản trị học
(Fundamentals of Management)",QTRE303
24,"Địa lý kinh tế thế giới
(World economic geography)",TMAE201
25,"Quan hệ kinh tế quốc tế
(International Economics Relations)",KTEE306
26,"Tâm lý học kinh doanh
(Business Psychology)",TLHH104
27,"Sở hữu trí tuệ
(Intellectual Property)",TMAE408
28,"Môi trường kinh doanh quốc tế
(International Business Environment)",KDOE308
,Ngoại ngữ (bắt buộc),
29,Tiếng Anh chuyên ngành 1 (Tiếng Anh thương mại nâng cao) (English for Specific Purpose 1 (Advanced Business English)),ESP111
30,"Tiếng Anh chuyên ngành 2 (Giao tiếp kinh doanh)
(English for Specific Purpose 2 (Business Communication))",ESP121
31,Tiếng Anh chuyên ngành 3 (Kinh tế và Kinh doanh Quốc tế) (English for Specific Purpose 3 (International Business and Economics)),ESP231
,"Tiếng Anh chuyên ngành 4
(Chọn 1 trong 2)",
32,"Tiếng Anh chuyên ngành 4 (Thư tín)
(English for Specific Purpose 4 (Business Correspondence))",ESP341
