"STT
No","Tên môn học
 Course Name","Mã học phần
Course code"
,,
,,
1,"Kiến thức giáo dục đại cương
Generic knowledge",
1.1,"Lý luận chính trị
Political Theories",
1,"Triết học Mác-Lênin
(Marxist - Leninist Philosophy)",TRIH114
2,"Kinh tế chính trị Mác-Lênin
(Marxist- Leninist Political Economy)",TRIH115
3,"Chủ nghĩa xã hội khoa học
(Scientific Socialism)",TRIH116
4,"Tư tưởng Hồ Chí Minh
(Ho Chi Minh's Ideology)",TRIH104
5,"Lịch sử Đảng Cộng sản Việt Nam
(History of the Communist Party of Vietnam)",TRIH117
1.2,"Khoa học xã hội, Nhân văn - Nghệ thuật, Toán - Tin học
Social Science, Humanities - Arts, Mathematics – Informatics",
1.2.1,Bắt buộc,
6,"Toán cao cấp
(Advanced Mathematics)",TOAE105
7,"Tin học
(Informatics)",TINE206
8,"Lý thuyết xác suất và thống kê toán
(Theory of Probability and Mathematical Statistics)",TOAE201
9,"Pháp luật đại cương
(Introduction to Law)",PLUE111
10,"Phương pháp nghiên cứu trong kinh tế và kinh doanh
(Research Methodology for Economics and Business)",KTEE206
1.2.2,"Tự chọn: Chọn 1 học phần
Electives (choose 1 of the following courses)",
11,"Nhập môn kinh doanh
(Introduction to Business)",KDOE203
12,"Tư duy thiết kế
(Design Thinking)",PPHE107
13,"Tâm lý học
(Psychology)",TLHH102
14,"Các vấn đề xã hội và đạo đức
(Moral and Social problems)",DXHH201
15,"Địa lý kinh tế thế giới
(World Economic Geography)",TMAE201
16,"Tiếng Việt cơ bản 1
(Basic Vietnamese 1)",TVIH100
1.3,"Giáo dục thể chất
Physical education",
1.4,"Giáo dục quốc phòng
National defense education",
2,"Kiến thức giáo dục chuyên nghiệp
National defense education",
2.1,"Kiến thức cơ sở khối ngành /cơ sở ngành
Foundational knowledge",
2.1.1,Bắt buộc/Compulsory,
17,"Kinh tế vi mô
(Microeconomics)",KTEE201
18,"Kinh tế vĩ mô
(Macroeconomics)",KTEE203
19,"Nguyên lý kế toán
(Principles of Accounting)",KETE201
20,"Kinh tế lượng
(Econometrics)",KTEE309
21,"Lý thuyết tài chính
(Principles of Finance)",TCHE302
2.1.2,"Ngoại ngữ (bắt buộc)
Languages (Compulsory)",
22,"Tiếng Anh chuyên ngành 1 (Tiếng Anh thương mại nâng cao)
(English for Specific Purpose 1 (Advanced Business English)",ESP111
23,"Tiếng Anh chuyên ngành 2 (Giao tiếp kinh doanh)
(English for Specific Purpose 2 (Business Communication))",ESP121
24,"Tiếng Anh chuyên ngành 3 (Kinh tế và Kinh doanh Quốc tế)
(English for Specific Purpose 3 (Business Communication))",ESP231
25,"Tiếng Anh chuyên ngành 4 (Chọn 1 trong 2)
English for Specific Purpose 4 (Choose 1 of the following courses)",
25.a,"Tiếng Anh chuyên ngành 4 (Thư tín)
(English for Specific Purpose 4 (Business Correspondence))",ESP341
25.b,"Tiếng Anh chuyên ngành 4 (Hợp đồng)
(English for Specific Purpose 4 (Contract))",ESP342
26,"Tiếng Anh chuyên ngành 5 (Diễn thuyết trước công chúng)
(English for Specific Purpose 5 (Public Speaking))",ESP451
