STT,Tên học phần,Mã học phần
,,
,,
1,Kiến thức giáo dục đại cương,
1.1,Lý luận chính trị,
1,"Triết học Mác – Lênin
(Marxist – Leninist Philosophy)",TRIH114
2,"Kinh tế chính trị Mác-Lênin
(Marxist – Leninist Political Economy)",TRIH115
3,"Chủ nghĩa xã hội khoa học
(Scientific Socialism)",TRIH116
4,"Lịch sử Đảng Cộng sản Việt Nam
(History of The Communist Party of Vietnam)",TRIH117
5,"Tư tưởng Hồ Chí Minh
(Hochiminh’s Ideology)",TRIH104
1.2,"Khoa học xã hội, Nhân văn - Nghệ thuật, Toán - Tin học",
6,"Toán cao cấp
(Advanced Mathematics)",TOAH105
7,"Lý thuyết xác suất và thống kê toán
(The Theory of Probability and Mathematical Statistics)",TOAH201
8,"Pháp luật đại cương
(Introduction to Law)",PLUE111
9,"Tin học
(Informatics)",TINH206
,Tự chọn 1 trong 2 môn sau,
11,"Phát triển kỹ năng
(Skills development)",PPHH101
12,"Tiếng Việt cơ bản 1
(Basic Vietnamese 1)",TVIH100
1.3.,Giáo dục thể chất,
13,Giáo dục thể chất,
1.4.,"Giáo dục quốc phòng, an ninh",
14,Giáo dục quốc phòng,
2,Kiến thức giáo dục chuyên nghiệp,
2.1,Kiến thức cơ sở khối ngành/cơ sở ngành,
2.1.1,Bắt buộc,
15,"Kinh tế vi mô
(Microeconomics)",KTEE201
16,"Kinh tế vĩ mô
(Macroeconomics)",KTEE203
17,"Quản trị học
(Fundamentals of Management)",QTRE303
18,"Nguyên lý kế toán
(Principles of Accounting)",KETE201
19,"Phương pháp nghiên cứu trong kinh tế và kinh doanh
(Research Methodology for Economics and Business)",KTEE206
20,"Fin 1
(Fin 1 - Project-based learning)",TCHE322
21,"Tiếng Anh chuyên ngành 1 (Tiếng Anh thương mại nâng cao)
(English for Specific Purpose 1 (Advanced Business English))",ESP111
22,"Tiếng Anh chuyên ngành 2 (Giao tiếp kinh doanh)
(English for Specific Purpose 2 (Business Communication))",ESP121
23,"Tiếng Anh chuyên ngành 3 (Tài chính ngân hàng)
(English for Specific Purpose 3(Banking and Finance))",ESP233
24,"Tiếng Anh chuyên ngành 4
SV chọn 1 trong 2 học phần sau:",
25,"Tiếng Anh chuyên ngành 4 (Thư tín thương mại)
(English for Specific Purpose 4 (Business Correspondence))",ESP341
26,"Tiếng Anh chuyên ngành 4 (Hợp đồng)
(English for Specific Purpose 4 (Contract))",ESP342
27,"Tiếng Anh chuyên ngành 5 (Diễn thuyết trước công chúng)
(English for Specific Purpose 5 (Public Speaking))",ESP451
2.1.2,Tự chọn (sinh viên chọn 1 trong 6 học phần),
28,"Kế toán quản trị
(Managerial Accounting)",KETE310
29,"Marketing căn bản
(Principles of Marketing)",MKTE301
30,"Thống kê và phân tích kinh doanh
(Statistics and Business Analysis)",TOAE308
31,"Cơ sở dữ liệu
(Data Management System)",TINH313
32,"Lập trình cho phân tích dữ liệu & tính toán khoa học
(Programming for Data analysis and Scientific Computing)",TINH314
33,"Trí tuệ nhân tạo trong kỷ nguyên chuyển đổi số
(AI in the era of digital transformation)",AIDE300
2.2,Kiến thức ngành,
2.2.1,Bắt buộc,
